Колір,Синій
Вага,1.4 кг
1.4 кг,Harman/Kardon
Звукова система,63 Вт*год
Маніпулятори,317.4 x 228.5 x 19.3 мм
"
","
"
9,5,:
Имя,ASUS ZenBook 14 Ultralight UX435EAL-KC114R (90NB0S91-M03020) Pine Grey / Intel Core i7-1165G7 / SSD 1 ТБ / Windows 10 Pro 
Цена, 51 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0s91-m03020/p332345728/
Колір,Сірий
Вага,0.98 кг
0.98 кг,63 Вт*год
Ємність акумулятора,Клавіатура NumberPad
Тачпад,319.3 x 201.7 x 14.9 - 15.6 мм
"
","
"
9,6,:
Имя,"Asus ROG Zephyrus M16 GU603HE-K8007 16"" (90NR07C1-M01380) Off Black / Intel Core i7-11800H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 Ti "
Цена, 64 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nr07c1-m01380/p324876022/
Колір,Чорний
Вага,1.9 кг
1.9 кг,90 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал
"
","
"
9,7,:
Имя,HP Pavilion Gaming 15-ec2031ua (59Y48EA) Shadow Black 
Цена, 40 999 
Детальная информация,https://rozetka.com.ua/ua/hp-59y48ea/p332148364/
Колір,Чорний
Вага,1.98 кг
1.98 кг,52.5 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
9,8,:
Имя,ASUS Vivobook 15 K513EA-BQ2393 (90NB0SG3-M018Z0) Spangle Silver / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 256 ГБ 
Цена, 25 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sg3-m018z0/p345449605/
Колір,Сріблястий
Вага,1.8 кг
1.8 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
9,9,:
Имя,Acer Aspire 5 A515-45G-R7C8 (NX.A8CEU.00K) Pure Silver 
Цена, 24 999 
Детальная информация,https://rozetka.com.ua/ua/acer_nx_a8ceu_00k/p282257488/
Колір,Сріблястий
Вага,1.77 кг
1.77 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
1,0,0,:
Имя,MSI Modern 14 B11MOU-885XUA Carbon Gray 
Цена, 32 499 
Детальная информация,https://rozetka.com.ua/ua/msi-b11mou-885xua/p332846788/
Колір,Сірий
Вага,1.3 кг
1.3 кг,39 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал
"
","
"
1,0,1,:
Имя,Lenovo V14 (82C600DARA) Grey 
Цена, 18 354 
Детальная информация,https://rozetka.com.ua/ua/lenovo_82c600dara/p278516153/
Колір,Сірий
Вага,1.6 кг
1.6 кг,35 Вт*год
Характеристики батареї,327.1 x 241 x 19.9 мм
327.1 x 241 x 19.9 мм,1366x768
"
","
"
1,0,2,:
Имя,ASUS Laptop X515MA-EJ490 (90NB0TH2-M10340) Transparent Silver / Intel Celeron N4020 / RAM 4 ГБ / SSD 256 ГБ 
Цена, 14 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0th2-m10340/p342591835/
Колір,Сріблястий
Вага,1.8 кг
1.8 кг,SonicMaster
Звукова система,37 Вт*год
Маніпулятори,360.2 x 234.9 x 19.9 мм
"
","
"
1,0,3,:
Имя,ASUS TUF Gaming F17 (2022) FX707ZM-HX017 (90NR09G2-M00250) Jaeger Gray / Intel Core i7-12700H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060 
Цена, 69 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nr09g2-m00250/p344951158/
Колір,Сірий
Вага,2.6 кг
2.6 кг,90 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,17.3'' (1920x1080) Full HD
"
","
"
1,0,4,:
Имя,Lenovo V14 G2 ITL (82KA001JRA) Black 
Цена, 20 999 
Детальная информация,https://rozetka.com.ua/ua/lenovo-82ka001jra/p325014835/
Колір,Чорний
Вага,1.6 кг
1.6 кг,38 Вт*год
Ємність акумулятора,6 годин (MobileMark 2018)
Маніпулятори,324.2 x 215.2 x 19.9 мм
"
","
"
1,0,5,:
Имя,ASUS VivoBook Pro 14X OLED N7400PC-KM010W (90NB0U44-M03070) Cool Silver / Intel Core i7-11370H / nVidia GeForce RTX 3050 / Windows 11 Home 
Цена, 46 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0u44-m03070/p336289531/
Колір,Сріблястий
Вага,1.45 кг
1.45 кг,"
Harman/Kardon
"
Звукова система,63 Вт*год
Маніпулятори,Метал
"
","
"
1,0,6,:
Имя,Acer Swift 3 SF314-511-534H (NX.ABLEU.00K) Pure Silver 
Цена, 30 999 
Детальная информация,https://rozetka.com.ua/ua/acer_nx_ableu_00k/p282385553/
Колір,Сріблястий
Вага,1.2 кг
1.2 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"14"" (1920x1080) Full HD"
"
","
"
